Id,abstract,authors,category,date,link,primary_subject,subjects,title
arXiv:1907.00001,"  The Little Ice Age in Europe (between about 1350 and 1850) marked the largest
glacier extent over the entire Holocene period. Although several authors have
investigated the causes of the substantial glacier advances in the mid-19th
century and the rapid retreat following this phase, a conclusive insight
linking all relevant components is still lacking. The so-called ""Paradox of the
Little Ice Age"" refers to the yet unsolved problem why glaciers in the Alps
experienced rapid growth around 1850 and subsequent decline despite air
temperatures remaining at a low level until 1920. Here, we propose a simple
model to explain glacier advance and retreat during the maximum of the Little
Ice Age with the primary climatological drivers: air temperature and
precipitation variations, changes in solar irradiation and glacier-surface
albedo effects. These forcing mechanisms allow attributing the causes of
glacier change, and, hence, enhancing our understanding of past and future
glacier response.
","Matthias Huss,Simon Förster",Physics,"Sat, 29 Jun 2019 05:27:31 UTC (585 KB)",https://arxiv.org/pdf/1907.00001.pdf,Geophysics (physics.geo-ph),Geophysics (physics.geo-ph),Vorstoss und Rückzug der Gletscher während der Kleinen Eiszeit
arXiv:1907.00002,"  We consider a finite-size periodically driven quantum system of coupled
kicked rotors which exhibits two distinct regimes in parameter space: a
dynamically-localized one with kinetic-energy saturation in time and a chaotic
one with unbounded energy absorption (dynamical delocalization). We provide
numerical evidence that the kinetic energy grows subdiffusively in time in a
parameter region close to the boundary of the chaotic dynamically-delocalized
regime. We map the different regimes of the model via a spectral analysis of
the Floquet operator and investigate the properties of the Floquet states in
the subdiffusive regime. We observe an anomalous scaling of the average inverse
participation ratio (IPR) analogous to the one observed at the critical point
of the Anderson transition in a disordered system. We interpret the behavior of
the IPR and the behavior of the asymptotic-time energy as a mark of the
breaking of the eigenstate thermalization in the subdiffusive regime. Then we
study the distribution of the kinetic-energy-operator off-diagonal matrix
elements. We find that in presence of energy subdiffusion they are not Gaussian
and we propose an anomalous random matrix model to describe them.
","Simone Notarnicola,Alessandro Silva,Rosario Fazio,Angelo Russomanno",Condensed Matter,"Thu, 27 Jun 2019 18:00:04 UTC (1,175 KB)",https://arxiv.org/pdf/1907.00002.pdf,Quantum Gases (cond-mat.quant-gas),Quantum Physics (quant-ph),Slow heating in a quantum coupled kicked rotors system
arXiv:1907.00003,"  A robust model of dilute polyelectrolyte solutions is constructed based on
kinetic theory arguments. The polyelectrolyte molecules are modelled by
finitely elongated non-linear elastic dumbbells with beads carrying identical
effective charges. The electric interaction between the beads is described in a
simplified way through an electrostatic Coulomb force. With two pre-averaging
approximations, the constitutive equations of the fluid model are formulated in
closed form; and its rheological properties in steady and transient shear and
elongational flows are investigated by analytical and simple numerical means.
It is found that despite its simplicity, the model shows an excellent
qualitative agreement with the results obtained by advanced numerical
simulations of polyelectrolyte solutions and predicts most of the
experimentally observed features of such fluids.
","Dmitry Shogin,Per Amund Amundsen",Condensed Matter,"Sun, 3 Nov 2019 23:34:07 UTC (1,453 KB)",https://arxiv.org/pdf/1907.00003.pdf,Soft Condensed Matter (cond-mat.soft),Fluid Dynamics (physics.flu-dyn),The Charged FENE-P Dumbbell model: explaining the rheology of dilute polyelectrolyte solutions
arXiv:1907.00004,"  This study considers the problem of testing for a parameter change in the
presence of outliers. For this, we propose a robust test using the objective
function of minimum density power divergence estimator (MDPDE) by Basu et al.
(Biometrika, 1998), and then derive its limiting null distribution. Our test
procedure can be naturally extended to any parametric model to which MDPDE can
be applied. To illustrate this, we apply our test procedure to GARCH models. We
demonstrate the validity and robustness of the proposed test through a
simulation study. In a real data application to the Hang Seng index, our test
locates some change-points that are not detected by the previous tests such as
the score test and the residual-based CUSUM test.
","Junmo Song,Jiwon Kang",Mathematics,"Fri, 30 Aug 2019 02:25:11 UTC (44 KB)",https://arxiv.org/pdf/1907.00004.pdf,Statistics Theory (math.ST),Methodology (stat.ME),Test for parameter change in the presence of outliers: the density power divergence based approach
arXiv:1907.00005,"  We study the optical evolution of the 2015 outburst in V404 Cyg, with
emphasis on the peculiar nebular phase and subsequent decay to quiescence. From
the decay timescale of the Balmer emission associated with the nebula we
measure an outflow mass M_wind~4x10^{-6} Msun. Remarkably, this is ~100 times
larger than the accreted mass and ~10% of the total mass stored in the disc.
The wind efficiency must therefore be significantly larger than previous
estimates for black hole transients, suggesting that radiation pressure (in
addition to other mechanisms such as Compton-heating) plays a key role in V404
Cyg. In addition, we compare the evolution of the 2015 and 1989 outbursts and
find clear similarities (namely a large luminosity drop ~10 d after the X-ray
trigger, followed by a brief nebular phase) but also remarkable differences in
decay timescales and long-term evolution of the Halpha profile. In particular,
we see evidence for a rapid disc contraction in 2015, consistent with a burst
of mass transfer. This could be driven by the response of the companion to hard
X-ray illumination, most notably during the last gigantic (super-Eddington)
flare on 25 June 2015. We argue that irradiation and consequential disc wind
are key factors to understand the different outburst histories in 1989 and
2015. In the latter case, radiation pressure may be responsible for the abrupt
end of the outburst through depleting inner parts of the disc, thus quenching
accretion and X-ray irradiation. We also present a refined orbital period and
updated ephemeris.
","J. Casares,T. Muñoz-Darias,D. Mata Sanchez,P.A. Charles,M.A.P. Torres,M. Armas Padilla,R.P. Fender,J. Garcia-Rojas",Astrophysics,"Fri, 28 Jun 2019 18:00:00 UTC (300 KB)",https://arxiv.org/pdf/1907.00005.pdf,High Energy Astrophysical Phenomena (astro-ph.HE),Solar and Stellar Astrophysics (astro-ph.SR),Accretion and Outflow in V404 Cyg
arXiv:1907.00006,"  We consider how the trajectory of an interstellar precursor mission would be
affected by the gravity of the Sun in Newtonian and Milgromian dynamics (MOND).
The Solar gravity is ${\approx 50\%}$ stronger in MOND beyond a distance of
${\approx 7000}$ astronomical units, the MOND radius of the Sun. A spacecraft
travelling at $0.01 \, c$ reaches this distance after 11.1 years. We show that
the extra gravity in MOND causes an anomalous deceleration that reduces its
radial velocity by ${\approx 3}$ cm/s and the two-way light travel time from
the inner Solar System by ${\approx 0.1}$ seconds after 20 years. A distinctive
signature of MOND is that the gravity from the Sun is not directly towards it.
This is due to the non-linear nature of MOND and the external gravitational
field from the rest of the Galaxy, which we self-consistently include in our
calculations. As a result, the sky position of the spacecraft would deviate by
up to 0.2 mas over 20 years. This deviation is always in the plane containing
the spacecraft trajectory and the direction towards the Galactic Centre. By
launching spacecraft in different directions, it is possible to test the
characteristic pattern of angular deviations expected in MOND. This would
minimize the chance that any detected anomalies are caused by other processes
like drag from the interstellar medium. Such confounding factors could also be
mitigated using an onboard accelerometer to measure non-gravitational forces.
We briefly discuss how the gravity theories could be conclusively distinguished
using a Cavendish-style active gravitational experiment beyond the Sun's MOND
radius.
","Indranil Banik,Pavel Kroupa",Astrophysics,"Fri, 28 Jun 2019 18:00:00 UTC (2,470 KB)",https://arxiv.org/pdf/1907.00006.pdf,Astrophysics of Galaxies (astro-ph.GA),Solar and Stellar Astrophysics (astro-ph.SR),Testing gravity with interstellar precursor missions
arXiv:1907.00007,"  We show that the phase II upgrade of the CMS tracking detector could enable
the experiment to trigger on very low mass $\mathcal{O}(1\,\text{GeV})$
displaced muon pairs with minimal $p_T$ cuts. As a result, CMS can be
competitive with LHCb when searching for low mass displaced exotics originating
from heavy flavor decays. The method can also be applied to signatures without
muons but with a moderate amount of MET, $H_T$ or multiple displaced vertices
in the event.
","Yuri Gershtein,Simon Knapen",High Energy Physics - Experiment,"Fri, 28 Jun 2019 18:00:01 UTC (1,555 KB)",https://arxiv.org/pdf/1907.00007.pdf,High Energy Physics - Experiment (hep-ex),High Energy Physics - Phenomenology (hep-ph),A Trigger for Displaced Muon Pairs Following the CMS Phase II Upgrades
arXiv:1907.00008,"  The thermodynamic properties of the Shastry-Sutherland model have posed one
of the longest-lasting conundrums in frustrated quantum magnetism. Over a wide
range on both sides of the quantum phase transition (QPT) from the
dimer-product to the plaquette-based ground state, neither analytical nor any
available numerical methods have come close to reproducing the physics of the
excited states and thermal response. We solve this problem in the dimer-product
phase by introducing two qualitative advances in computational physics. One is
the use of thermal pure quantum (TPQ) states to augment dramatically the size
of clusters amenable to exact diagonalization. The second is the use of
tensor-network methods, in the form of infinite projected entangled pair states
(iPEPS), for the calculation of finite-temperature quantities. We demonstrate
convergence as a function of system size in TPQ calculations and of bond
dimension in our iPEPS results, with complete mutual agreement even extremely
close to the QPT. Our methods reveal a remarkably sharp and low-lying feature
in the magnetic specific heat around the QPT, whose origin appears to lie in a
proliferation of excitations composed of two-triplon bound states. The
surprisingly low energy scale and apparently extended spatial nature of these
states explain the failure of less refined numerical approaches to capture
their physics. Both of our methods will have broad and immediate application in
addressing the thermodynamic response of a wide range of highly frustrated
magnetic models and materials.
","Alexander Wietek,Philippe Corboz,Stefan Wessel,Bruce Normand,Frédéric Mila,Andreas Honecker",Condensed Matter,"Tue, 22 Oct 2019 21:09:06 UTC (4,410 KB)",https://arxiv.org/pdf/1907.00008.pdf,Strongly Correlated Electrons (cond-mat.str-el),Strongly Correlated Electrons (cond-mat.str-el),Thermodynamic properties of the Shastry-Sutherland model throughout the dimer-product phase
arXiv:1907.00009,"  We revisit here the Kibble-Zurek mechanism for superfluid bosons slowly
driven across the transition towards the Mott-insulating phase. By means of a
combination of the Time-Dependent Variational Principle and a Tree-Tensor
Network, we characterize the current flowing during annealing in a ring-shaped
one-dimensional Bose-Hubbard model with artificial classical gauge field on up
to 32 lattice sites. We find that the superfluid current shows, after an
initial decrease, persistent oscillations which survive even when the system is
well inside the Mott insulating phase. We demonstrate that the amplitude of
such oscillations is connected to the residual energy, characterizing the
creation of defects while crossing the quantum critical point, while their
frequency matches the spectral gap in the Mott insulating phase. Our
predictions can be verified in future atomtronics experiments with neutral
atoms in ring shaped traps. We believe that the proposed setup provides an
interesting but simple platform to study the non-equilibrium quantum dynamics
of persistent currents experimentally.
","Lucas Kohn,Pietro Silvi,Matthias Gerster,Maximilian Keck,Rosario Fazio,Giuseppe E. Santoro,Simone Montangero",Quantum Physics,"Thu, 12 Dec 2019 11:07:35 UTC (4,023 KB)",https://arxiv.org/pdf/1907.00009.pdf,Quantum Physics (quant-ph),Mesoscale and Nanoscale Physics (cond-mat.mes-hall); Quantum Gases (cond-mat.quant-gas),Superfluid to Mott transition in a Bose-Hubbard ring: Persistent currents and defect formation
arXiv:1907.00010,"  The Berry curvature dipole is a physical quantity that is expected to allow
various quantum geometrical phenomena in a range of solid-state systems.
Monolayer transition metal dichalcogenides provide an exceptional platform to
modulate and investigate the Berry curvature dipole through strain. Here we
theoretically demonstrate and experimentally verify for monolayer MoS$_\rm{2}$
the generation of valley orbital magnetization as a response to an in-plane
electric field due to the Berry curvature dipole. The measured valley orbital
magnetization shows excellent agreement with the calculated Berry curvature
dipole which can be controlled by the magnitude and direction of strain. Our
results show that the Berry curvature dipole acts as an effective magnetic
field in current-carrying systems, providing a novel route to generate
magnetization.
","Joolee Son,Kyung-Han Kim,Y. H. Ahn,Hyun-Woo Lee,Jieun Lee",Condensed Matter,"Tue, 2 Jul 2019 05:15:41 UTC (780 KB)",https://arxiv.org/pdf/1907.00010.pdf,Mesoscale and Nanoscale Physics (cond-mat.mes-hall),Mesoscale and Nanoscale Physics (cond-mat.mes-hall),Strain-engineering of Berry curvature dipole and valley magnetization in monolayer MoS$_2$
